,,,,,,,,,,,,,,,,,,,
순번,대학(원),학과(부),학년,이수구분,이수영역,학수번호,교과목명,교과목명(영문),담당교수,강의실,시간표(교시),시간표(시간),교시유형,학점,수업구분,수업유형,성적평가,집중이수제,원어강의구분
1035,경영대학,세무회계학과,3,전공심화,전공심화,0010939001,IT활용회계,IT based Accounting,황희주,제29호관 생명과학기술대학-209 전산실습실[29-209], [29-209:월(야1-2A)(야2B-3)], [29-209:월(18:00~19:15)(19:25~20:40)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1036,경영대학,세무회계학과,3,전공심화,전공심화,FD06075001,고급회계,Advanced Accounting,유영태,제29호관 생명과학기술대학-208 강의실[29-208]," [29-208:화(1-2A),목(1-2A)]"," [29-208:화(09:00~10:15),목(09:00~10:15)]",75분,3,일반과목,e-Learning,상대평가,일반(1~15주),비대상
1037,경영대학,세무회계학과,4,전공심화,전공심화,0001567001,재무회계연습,Practices in Financial Accounting,김광태,제29호관 생명과학기술대학-207 강의실[29-207], [29-207:수(2B-3)(4-5A)], [29-207:수(10:30~11:45)(12:00~13:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1038,경영대학,세무회계학과,4,전공심화,전공심화,0003456001,세무회계연습,Practices in Tax Accounting,한홍열,제29호관 생명과학기술대학-207 강의실[29-207], [29-207:월(2B-3)(4-5A)], [29-207:월(10:30~11:45)(12:00~13:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1039,예술체육대학,조형예술학부,1,전공기초,전공기초,0005939001,기초드로잉(적용과 응용), Basic Drawing-Observational drawing,한효석,제16호관 예술체육대학-111 공동실습실[16-111], [16-111:화(1)(2)(3)], [16-111:화(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1040,예술체육대학,조형예술학부,1,전공기초,전공기초,0005939002,기초드로잉(적용과 응용), Basic Drawing-Observational drawing,우종택,제16호관 예술체육대학-310 판화실[16-310], [16-310:수(5)(6)(7)], [16-310:수(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1041,예술체육대학,조형예술학부,1,전공기초,전공기초,0011477001,입체와공간1,Sculpture and Space1,김병주,제16호관 예술체육대학-115 조소공작실[16-115], [16-115:화(5)(6)(7)], [16-115:화(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1042,예술체육대학,조형예술학부,1,전공심화,전공심화,HC06172001,한국미술사,HISTORY OF KOREAN ART,조시내,제16호관 예술체육대학-301 강의실(소)-1[16-301], [16-301:금(1)(2)(3)], [16-301:금(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1043,예술체육대학,조형예술학부,2,전공심화,전공심화,0010155001,디지털편집실무1,Study of Digital Editing 1,홍보람,제16호관 예술체육대학-217A 컴퓨터실-B[16-217A], [16-217A:화(5)(6)(7)], [16-217A:화(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1044,예술체육대학,조형예술학부,2,전공심화,전공심화,0010941001,서예1,Calligraphy,김장현,제16호관 예술체육대학-310 판화실[16-310], [16-310:금(1)(2)(3)], [16-310:금(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1045,예술체육대학,조형예술학부,2,전공심화,전공심화,0010964001,영상미술1,Moving image1,허경란,제16호관 예술체육대학-217A 컴퓨터실-B[16-217A], [16-217A:금(6)(7)(8)], [16-217A:금(14:00~14:50)(15:00~15:50)(16:00~16:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1046,예술체육대학,조형예술학부,2,전공심화,전공심화,0011478001,현대사진미디어,Contemporary Photographic Media,허경란,제16호관 예술체육대학-217A 컴퓨터실-B[16-217A], [16-217A:수(5)(6)(7)], [16-217A:수(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1047,예술체육대학,조형예술학부,2,전공심화,전공심화,0012424001,한지조형1,Hanji modeling1,최익진,제16호관 예술체육대학-310 판화실[16-310], [16-310:목(1)(2)(3)], [16-310:목(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,상대평가,일반(1~15주),비대상
1048,예술체육대학,조형예술학부,2,전공심화,전공심화,HA06017001,서양미술사,DISCOURSE FOR WESTERN ART HISTORY,김숙영,제16호관 예술체육대학-301 강의실(소)-1[16-301], [16-301:목(5)(6)(7)], [16-301:목(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1049,예술체육대학,조형예술학부,3,전공심화,전공심화,0010942001,3D모델링1,3D Modeling 1,류성훈,제16호관 예술체육대학-217A 컴퓨터실-B[16-217A], [16-217A:금(1)(2)(3)], [16-217A:금(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1050,예술체육대학,조형예술학부,3,전공심화,전공심화,0010943001,동시대현대예술가연구현장실습,Contemporary Artist Research Field Practice,신정균,제16호관 예술체육대학-313A 강의실(소)[16-313A], [16-313A:목(6)(7)(8)(9)], [16-313A:목(14:00~14:50)(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1051,예술체육대학,조형예술학부,3,전공심화,전공심화,0010968001,뉴미디어아트1,New media Art1,권혜원,제16호관 예술체육대학-217A 컴퓨터실-B[16-217A], [16-217A:화(8)(9)(야1)], [16-217A:화(16:00~16:50)(17:00~17:50)(18:00~18:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1052,예술체육대학,조형예술학부,3,전공심화,전공심화,HA06020001,판화(1),PRINT(1),지근욱,제16호관 예술체육대학-310 판화실[16-310], [16-310:월(5)(6)(7)], [16-310:월(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1053,예술체육대학,조형예술학부,4,전공심화,전공심화,0012426001,예술시장실무,Art Market Practice,정유나,제16호관 예술체육대학-313A 강의실(소)[16-313A], [16-313A:금(1)(2)(3)], [16-313A:금(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1054,예술체육대학,한국화전공,1,전공기초,전공기초,HA06006001,기초동양화,BASIC ORIENTAL PAINTING,송윤주,제16호관 예술체육대학-111 공동실습실[16-111], [16-111:목(1)(2)(3)], [16-111:목(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1055,예술체육대학,한국화전공,1,전공기초,전공기초,HC06022001,기초서양화,BASIC PAINTING,이계원,제16호관 예술체육대학-111 공동실습실[16-111], [16-111:월(5)(6)(7)], [16-111:월(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1056,예술체육대학,한국화전공,2,전공핵심,전공핵심,0005924001,표현과 매체(1),Expression & Media (1),장경애,제16호관 예술체육대학-202 한국화실2[16-202], [16-202:월(5)(6)(7)], [16-202:월(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1057,예술체육대학,한국화전공,2,전공핵심,전공핵심,HAA6024001,채색기법(1),Techniques of Color Painting(1),고찬규,제16호관 예술체육대학-202 한국화실2[16-202], [16-202:수(1)(2)(3)], [16-202:수(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1058,예술체육대학,한국화전공,2,전공심화,전공심화,0010483001,수묵드로잉1,Ink Painting Drawing,우종택,제16호관 예술체육대학-202 한국화실2[16-202], [16-202:화(1)(2)(3)], [16-202:화(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1059,예술체육대학,한국화전공,3,전공핵심,전공핵심,0005936001,현대수묵(1), Modern Korean Ink Painting(1),송윤주,제16호관 예술체육대학-205 한국화실3[16-205], [16-205:수(1)(2)(3)], [16-205:수(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1060,예술체육대학,한국화전공,3,전공심화,전공심화,0005925001,복합표현연구(1),Research of Mixed Expression(1),진민욱,제16호관 예술체육대학-205 한국화실3[16-205], [16-205:월(1)(2)(3)], [16-205:월(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1061,예술체육대학,한국화전공,3,전공심화,전공심화,0010156001,현장드로잉1,Scene Drawing 1,장경애,제16호관 예술체육대학-205 한국화실3[16-205], [16-205:화(1)(2)(3)], [16-205:화(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1062,예술체육대학,한국화전공,3,전공심화,전공심화,HAA6028001,채색화실기(1),Studio Work of Color Painting(1),고찬규,제16호관 예술체육대학-205 한국화실3[16-205], [16-205:수(5)(6)(7)], [16-205:수(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1063,예술체육대학,한국화전공,4,전공심화,전공심화,0010954001,스튜디오2,Studio2,우종택,제16호관 예술체육대학-201 한국화실1[16-201], [16-201:목(1)(2)(3)], [16-201:목(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1064,예술체육대학,한국화전공,4,전공심화,전공심화,0010955001,스튜디오1,Studio1,고찬규,제16호관 예술체육대학-201 한국화실1[16-201], [16-201:월(5)(6)(7)], [16-201:월(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1065,예술체육대학,한국화전공,4,전공심화,전공심화,0010956001,스튜디오3,Studio3,송윤주,제16호관 예술체육대학-201 한국화실1[16-201], [16-201:목(5)(6)(7)], [16-201:목(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1066,예술체육대학,한국화전공,4,전공심화,전공심화,0010957001,스튜디오4,Studio4,장경애,제16호관 예술체육대학-201 한국화실1[16-201], [16-201:수(1)(2)(3)], [16-201:수(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1067,예술체육대학,서양화전공,1,전공기초,전공기초,HA06006002,기초동양화,BASIC ORIENTAL PAINTING,송윤주,제16호관 예술체육대학-111 공동실습실[16-111], [16-111:수(5)(6)(7)], [16-111:수(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1068,예술체육대학,서양화전공,1,전공기초,전공기초,HC06022002,기초서양화,BASIC PAINTING,이계원,제16호관 예술체육대학-111 공동실습실[16-111], [16-111:월(1)(2)(3)], [16-111:월(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1069,예술체육대학,서양화전공,2,전공핵심,전공핵심,0008755001,회화1,Advanced Painting 1,이계원,제16호관 예술체육대학-106 서양화실1[16-106], [16-106:화(1)(2)(3)], [16-106:화(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1070,예술체육대학,서양화전공,2,전공핵심,전공핵심,0010963001,현대미술세미나1모더니즘,Contemporary Art Seminar1,조연주,제16호관 예술체육대학-301 강의실(소)-1[16-301], [16-301:월(6)(7)(8)], [16-301:월(14:00~14:50)(15:00~15:50)(16:00~16:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1071,예술체육대학,서양화전공,2,전공심화,전공심화,0008754001,드로잉1,Drawing 1,박수형,제16호관 예술체육대학-106 서양화실1[16-106], [16-106:목(1)(2)(3)], [16-106:목(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1072,예술체육대학,서양화전공,2,전공심화,전공심화,0010965001,회화재료연구,Painting Materials and Methods,류주현,제16호관 예술체육대학-106 서양화실1[16-106], [16-106:수(1)(2)(3)], [16-106:수(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1073,예술체육대학,서양화전공,3,전공핵심,전공핵심,0010967001,동시대회화연구1,Contemporary Painting Research1,한효석,제16호관 예술체육대학-107 서양화실2[16-107], [16-107:수(1)(2)(3)], [16-107:수(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1074,예술체육대학,서양화전공,3,전공심화,전공심화,0010966001,뉴폼드로잉,New form drawing,김수환,제16호관 예술체육대학-107 서양화실2[16-107], [16-107:금(5)(6)(7)], [16-107:금(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1075,예술체육대학,서양화전공,4,전공심화,전공심화,0010970001,스튜디오01,Studio01,이계원,제16호관 예술체육대학-108 서양화실3[16-108], [16-108:목(5)(6)(7)], [16-108:목(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1076,예술체육대학,서양화전공,4,전공심화,전공심화,0010971001,스튜디오03,Studio03,한효석,제16호관 예술체육대학-108 서양화실3[16-108], [16-108:월(5)(6)(7)], [16-108:월(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),2,일반과목,미술실기,절대평가,일반(1~15주),비대상
1077,예술체육대학,서양화전공,4,전공심화,전공심화,0010973001,스튜디오02,Studio02,차기율,제16호관 예술체육대학-108 서양화실3[16-108], [16-108:월(1)(2)(3)], [16-108:월(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,미술실기,상대평가,일반(1~15주),비대상
1078,예술체육대학,디자인학부,1,전공기초,전공기초,0007800023,자기설계세미나 I,Self - Design Seminar I,김시연,제28호관 도시과학대학-204 디자인실4[28-204], [28-204:수(2)], [28-204:수(10:00~10:50)],50분(표준),1,일반과목,자기설계세미나,이수인정,일반(1~15주),비대상
1079,예술체육대학,디자인학부,1,전공기초,전공기초,0007800024,자기설계세미나 I,Self - Design Seminar I,안혜신,제28호관 도시과학대학-402 입체조형제품실습실[28-402], [28-402:수(2)], [28-402:수(10:00~10:50)],50분(표준),1,일반과목,자기설계세미나,이수인정,일반(1~15주),비대상
1080,예술체육대학,디자인학부,1,전공기초,전공기초,0007800025,자기설계세미나 I,Self - Design Seminar I,한혜진,제28호관 도시과학대학-204 디자인실4[28-204], [28-204:수(6)], [28-204:수(14:00~14:50)],50분(표준),1,일반과목,자기설계세미나,이수인정,일반(1~15주),비대상
1081,예술체육대학,디자인학부,1,전공기초,전공기초,0007800026,자기설계세미나 I,Self - Design Seminar I,조유석,제28호관 도시과학대학-402 입체조형제품실습실[28-402], [28-402:수(6)], [28-402:수(14:00~14:50)],50분(표준),1,일반과목,자기설계세미나,이수인정,일반(1~15주),비대상
1082,예술체육대학,디자인학부,1,전공핵심,전공핵심,0006018001,평면과디자인,Design of level,이정연,제16호관 예술체육대학-109 디자인실1[16-109], [16-109:화(4)(5)(6)], [16-109:화(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1083,예술체육대학,디자인학부,1,전공핵심,전공핵심,0006018002,평면과디자인,Design of level,이정연,제16호관 예술체육대학-109 디자인실1[16-109], [16-109:화(7)(8)(9)], [16-109:화(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1084,예술체육대학,디자인학부,1,전공핵심,전공핵심,0006018003,평면과디자인,Design of level,문해원,제16호관 예술체육대학-213 컴퓨터실 D[16-213], [16-213:월(4)(5)(6)], [16-213:월(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1085,예술체육대학,디자인학부,1,전공심화,전공심화,0005994001,입체디자인,3 Dimensional Composition,박채은,제16호관 예술체육대학-109 디자인실1[16-109], [16-109:월(4)(5)(6)], [16-109:월(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1086,예술체육대학,디자인학부,1,전공심화,전공심화,0005994002,입체디자인,3 Dimensional Composition,박채은,제16호관 예술체육대학-109 디자인실1[16-109], [16-109:월(7)(8)(9)], [16-109:월(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1087,예술체육대학,디자인학부,1,전공심화,전공심화,0005994003,입체디자인,3 Dimensional Composition,박채은,제16호관 예술체육대학-109 디자인실1[16-109], [16-109:화(1)(2)(3)], [16-109:화(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1088,예술체육대학,디자인학부,1,전공심화,전공심화,0006643001,영상과디자인,Image and design,유동현,제28호관 도시과학대학-403 컴퓨터실F[28-403], [28-403:목(7)(8)(9)], [28-403:목(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1089,예술체육대학,디자인학부,1,전공심화,전공심화,0006643002,영상과디자인,Image and design,유동현,제28호관 도시과학대학-403 컴퓨터실F[28-403], [28-403:목(1)(2)(3)], [28-403:목(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1090,예술체육대학,디자인학부,1,전공심화,전공심화,0008773001,디자인 Thinking,Design Thinking,이서진,제28호관 도시과학대학-204 디자인실4[28-204], [28-204:수(3)(4)(5)], [28-204:수(11:00~11:50)(12:00~12:50)(13:00~13:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1091,예술체육대학,디자인학부,1,전공심화,전공심화,0008773002,디자인 Thinking,Design Thinking,이서진,제28호관 도시과학대학-204 디자인실4[28-204], [28-204:수(7)(8)(9)], [28-204:수(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1092,예술체육대학,디자인학부,1,전공심화,전공심화,0010986001,디자인발상과드로잉,Design Idea and Drawing,이기오,제28호관 도시과학대학-402 입체조형제품실습실[28-402], [28-402:화(7)(8)(9)], [28-402:화(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1093,예술체육대학,디자인학부,1,전공심화,전공심화,0010986002,디자인발상과드로잉,Design Idea and Drawing,이기오,제28호관 도시과학대학-402 입체조형제품실습실[28-402], [28-402:화(4)(5)(6)], [28-402:화(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1094,예술체육대학,디자인학부,2,전공핵심,전공핵심,0005987001,기초제품디자인,Basic Product Design,조유석,제28호관 도시과학대학-402 입체조형제품실습실[28-402], [28-402:화(1)(2)(3)], [28-402:화(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1095,예술체육대학,디자인학부,2,전공핵심,전공핵심,0005987002,기초제품디자인,Basic Product Design,조유석,제28호관 도시과학대학-402 입체조형제품실습실[28-402], [28-402:수(7)(8)(9)], [28-402:수(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1096,예술체육대학,디자인학부,2,전공심화,전공심화,0004238001,그래픽디자인,Graphic Design,김시연,제28호관 도시과학대학-203 디자인실3[28-203], [28-203:화(4)(5)(6)], [28-203:화(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1097,예술체육대학,디자인학부,2,전공심화,전공심화,0004238002,그래픽디자인,Graphic Design,김시연,제28호관 도시과학대학-203 디자인실3[28-203], [28-203:목(4)(5)(6)], [28-203:목(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1098,예술체육대학,디자인학부,2,전공심화,전공심화,0005976001,타이포와이미지,Typography and Image,신민정,제28호관 도시과학대학-203 디자인실3[28-203], [28-203:금(2)(3)(4)], [28-203:금(10:00~10:50)(11:00~11:50)(12:00~12:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1099,예술체육대학,디자인학부,2,전공심화,전공심화,0005976002,타이포와이미지,Typography and Image,신민정,제28호관 도시과학대학-203 디자인실3[28-203], [28-203:금(6)(7)(8)], [28-203:금(14:00~14:50)(15:00~15:50)(16:00~16:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1100,예술체육대학,디자인학부,2,전공심화,전공심화,0008779001,3D 컴퓨터 디자인,3D computer design,홍민석,제16호관 예술체육대학-215 컴퓨터실-A[16-215], [16-215:목(4)(5)(6)], [16-215:목(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1101,예술체육대학,디자인학부,2,전공심화,전공심화,0008779002,3D 컴퓨터 디자인,3D computer design,홍민석,제16호관 예술체육대학-215 컴퓨터실-A[16-215], [16-215:목(7)(8)(9)], [16-215:목(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1102,예술체육대학,디자인학부,2,전공심화,전공심화,0009496001,레이아웃디자인,Layout Design,전혜연,제28호관 도시과학대학-203 디자인실3[28-203], [28-203:수(1)(2)(3)], [28-203:수(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1103,예술체육대학,디자인학부,2,전공심화,전공심화,0009496002,레이아웃디자인,Layout Design,전혜연,제28호관 도시과학대학-203 디자인실3[28-203], [28-203:목(1)(2)(3)], [28-203:목(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1104,예술체육대학,디자인학부,2,전공심화,전공심화,0009500001,모션일러스트레이션,Motion Illustration,한혜진,제28호관 도시과학대학-403 컴퓨터실F[28-403], [28-403:월(7)(8)(9)], [28-403:월(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,온라인혼합형강좌,절대평가,일반(1~15주),비대상
1105,예술체육대학,디자인학부,2,전공심화,전공심화,0009500002,모션일러스트레이션,Motion Illustration,한혜진,제28호관 도시과학대학-403 컴퓨터실F[28-403], [28-403:화(4)(5)(6)], [28-403:화(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,온라인혼합형강좌,절대평가,일반(1~15주),비대상
1106,예술체육대학,디자인학부,2,전공심화,전공심화,0010988001,디자인구현프로그래밍,Design Embodiment Programming,박동명,제28호관 도시과학대학-404A 강의실[28-404A], [28-404A:수(4)(5)(6)], [28-404A:수(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1107,예술체육대학,디자인학부,2,전공심화,전공심화,0010988002,디자인구현프로그래밍,Design Embodiment Programming,박동명,제28호관 도시과학대학-404A 강의실[28-404A], [28-404A:수(1)(2)(3)], [28-404A:수(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1108,예술체육대학,디자인학부,2,전공심화,전공심화,0010992001,실감콘텐츠영상디자인,Realistic contents Image design,김수현,제28호관 도시과학대학-403 컴퓨터실F[28-403], [28-403:수(7)(8)(9)], [28-403:수(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1109,예술체육대학,디자인학부,2,전공심화,전공심화,0010992002,실감콘텐츠영상디자인,Realistic contents Image design,김수현,제28호관 도시과학대학-403 컴퓨터실F[28-403], [28-403:수(4)(5)(6)], [28-403:수(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1110,예술체육대학,디자인학부,2,전공심화,전공심화,0010996001,GUI디자인,GUI Design,이운형,제28호관 도시과학대학-206 컴퓨터실E[28-206], [28-206:목(7)(8)(9)], [28-206:목(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1111,예술체육대학,디자인학부,2,전공심화,전공심화,0010996002,GUI디자인,GUI Design,이운형,제28호관 도시과학대학-206 컴퓨터실E[28-206], [28-206:월(6)(7)(8)], [28-206:월(14:00~14:50)(15:00~15:50)(16:00~16:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1112,예술체육대학,디자인학부,3,전공심화,전공심화,0004229001,시각디자인,Visual Communication Design,이서진,제28호관 도시과학대학-204 디자인실4[28-204], [28-204:화(4)(5)(6)], [28-204:화(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,온라인혼합형강좌,절대평가,일반(1~15주),비대상
1113,예술체육대학,디자인학부,3,전공심화,전공심화,0004229002,시각디자인,Visual Communication Design,이서진,제28호관 도시과학대학-204 디자인실4[28-204], [28-204:월(4)(5)(6)], [28-204:월(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,온라인혼합형강좌,절대평가,일반(1~15주),비대상
1114,예술체육대학,디자인학부,3,전공심화,전공심화,0007833001,광고디자인스튜디오,Advertising Design Studio,이상혁,제28호관 도시과학대학-206 컴퓨터실E[28-206], [28-206:수(7)(8)(9)], [28-206:수(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1115,예술체육대학,디자인학부,3,전공심화,전공심화,0007833002,광고디자인스튜디오,Advertising Design Studio,이상혁,제28호관 도시과학대학-206 컴퓨터실E[28-206], [28-206:수(4)(5)(6)], [28-206:수(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1116,예술체육대학,디자인학부,3,전공심화,전공심화,0008780001,편집디자인,Editorial Design,문해원,제16호관 예술체육대학-213 컴퓨터실 D[16-213], [16-213:월(1)(2)(3)], [16-213:월(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
1117,예술체육대학,디자인학부,3,전공심화,전공심화,0008780002,편집디자인,Editorial Design,문해원,제16호관 예술체육대학-213 컴퓨터실 D[16-213], [16-213:월(7)(8)(9)], [16-213:월(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),2,일반과목,이론실험실습,절대평가,일반(1~15주),비대상
